Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides shControl_CTRL_bR1	Peptides shControl_CTRL_bR2	Peptides shControl_CTRL_bR3	Peptides shControl_EGF_bR1	Peptides shControl_EGF_bR2	Peptides shControl_EGF_bR3	Peptides shTMEM_CTRL_bR1	Peptides shTMEM_CTRL_bR2	Peptides shTMEM_CTRL_bR3	Peptides shTMEM_EGF_bR1	Peptides shTMEM_EGF_bR2	Peptides shTMEM_EGF_bR3	Razor + unique peptides shControl_CTRL_bR1	Razor + unique peptides shControl_CTRL_bR2	Razor + unique peptides shControl_CTRL_bR3	Razor + unique peptides shControl_EGF_bR1	Razor + unique peptides shControl_EGF_bR2	Razor + unique peptides shControl_EGF_bR3	Razor + unique peptides shTMEM_CTRL_bR1	Razor + unique peptides shTMEM_CTRL_bR2	Razor + unique peptides shTMEM_CTRL_bR3	Razor + unique peptides shTMEM_EGF_bR1	Razor + unique peptides shTMEM_EGF_bR2	Razor + unique peptides shTMEM_EGF_bR3	Unique peptides shControl_CTRL_bR1	Unique peptides shControl_CTRL_bR2	Unique peptides shControl_CTRL_bR3	Unique peptides shControl_EGF_bR1	Unique peptides shControl_EGF_bR2	Unique peptides shControl_EGF_bR3	Unique peptides shTMEM_CTRL_bR1	Unique peptides shTMEM_CTRL_bR2	Unique peptides shTMEM_CTRL_bR3	Unique peptides shTMEM_EGF_bR1	Unique peptides shTMEM_EGF_bR2	Unique peptides shTMEM_EGF_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type shControl_CTRL_bR1	Identification type shControl_CTRL_bR2	Identification type shControl_CTRL_bR3	Identification type shControl_EGF_bR1	Identification type shControl_EGF_bR2	Identification type shControl_EGF_bR3	Identification type shTMEM_CTRL_bR1	Identification type shTMEM_CTRL_bR2	Identification type shTMEM_CTRL_bR3	Identification type shTMEM_EGF_bR1	Identification type shTMEM_EGF_bR2	Identification type shTMEM_EGF_bR3	Sequence coverage shControl_CTRL_bR1 [%]	Sequence coverage shControl_CTRL_bR2 [%]	Sequence coverage shControl_CTRL_bR3 [%]	Sequence coverage shControl_EGF_bR1 [%]	Sequence coverage shControl_EGF_bR2 [%]	Sequence coverage shControl_EGF_bR3 [%]	Sequence coverage shTMEM_CTRL_bR1 [%]	Sequence coverage shTMEM_CTRL_bR2 [%]	Sequence coverage shTMEM_CTRL_bR3 [%]	Sequence coverage shTMEM_EGF_bR1 [%]	Sequence coverage shTMEM_EGF_bR2 [%]	Sequence coverage shTMEM_EGF_bR3 [%]	Intensity	Intensity shControl_CTRL_bR1	Intensity shControl_CTRL_bR2	Intensity shControl_CTRL_bR3	Intensity shControl_EGF_bR1	Intensity shControl_EGF_bR2	Intensity shControl_EGF_bR3	Intensity shTMEM_CTRL_bR1	Intensity shTMEM_CTRL_bR2	Intensity shTMEM_CTRL_bR3	Intensity shTMEM_EGF_bR1	Intensity shTMEM_EGF_bR2	Intensity shTMEM_EGF_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
A0A0K0K1A3	A0A0K0K1A3	1	1	1			>sp|A0A0K0K1A3|TVBJ1_HUMAN T cell receptor beta variable 10-1 OS=Homo sapiens OX=9606 GN=TRBV10-1 PE=3 SV=3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	7.9	7.9	7.9	12.97	114	114	1	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	0	0	0	0	0	0	0	0	0	0	7.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			0	1241	True	1415	11138	8527	8527		0		26
P68036;A0A1B0GUS4	P68036;A0A1B0GUS4	3;3	3;3	3;3	Ubiquitin-conjugating enzyme E2 L3	UBE2L3	>sp|P68036|UB2L3_HUMAN Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3 PE=1 SV=1;>sp|A0A1B0GUS4|UB2L5_HUMAN Ubiquitin-conjugating enzyme E2 L5 OS=Homo sapiens OX=9606 GN=UBE2L5 PE=2 SV=1	2	3	3	3	1	0	0	0	0	1	0	2	1	1	1	1	1	0	0	0	0	1	0	2	1	1	1	1	1	0	0	0	0	1	0	2	1	1	1	1	31.8	31.8	31.8	17.861	154	154;154	0	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	14.3	0	0	0	0	14.3	0	17.5	5.8	14.3	11.7	5.8	7857500	43524	0	0	0	0	1783000	0	5189000	239660	70708	265170	266370	3				1	3584;4526;9745	True;True;True	4020;5081;11113	30631;30632;38245;38246;38247;84741;84742;84743	21594;26812;59711	21594;26812;59711				
A0AV96	A0AV96	1	1	1	RNA-binding protein 47	RBM47	>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	2.4	2.4	2.4	64.098	593	593	0	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	2.4	0	2.4	2.4	2.4	2.4	0	2.4	2.4	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	6732	True	7638	57270;57271;57272;57273;57274;57275;57276;57277	39700;39701;39702;39703;39704	39701		8774		519
A0AVK6	A0AVK6	2	2	2	Transcription factor E2F8	E2F8	>sp|A0AVK6|E2F8_HUMAN Transcription factor E2F8 OS=Homo sapiens OX=9606 GN=E2F8 PE=1 SV=1	1	2	2	2	1	1	1	1	0	0	1	1	2	0	2	1	1	1	1	1	0	0	1	1	2	0	2	1	1	1	1	1	0	0	1	1	2	0	2	1	4.4	4.4	4.4	94.165	867	867	0	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	1.3	1.3	1.3	1.3	0	0	1.3	1.3	4.4	0	4.4	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	6057;11354	True;True	6859;6860;12893	51823;51824;51825;51826;51827;51828;51829;51830;51831;51832;51833;51834;51835;98821;98822	36474;36475;36476;36477;36478;69653	36474;69653	0	1;2;3;4;5;8775;8776	65	71;346;351;354;355;357;358
A0AVT1	A0AVT1	1	1	1	Ubiquitin-like modifier-activating enzyme 6	UBA6	>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1.8	1.8	1.8	117.97	1052	1052	0	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	0	0	0	0	0	1.8	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	6372	True	7239	54514;54515	38030;38031	38031		6;7;8777		33;34;36
A0FGR8	A0FGR8	4	4	4	Extended synaptotagmin-2	ESYT2	>sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	4	4	4	2	3	2	2	1	3	3	4	3	2	2	3	2	3	2	2	1	3	3	4	3	2	2	3	2	3	2	2	1	3	3	4	3	2	2	3	9	9	9	102.36	921	921	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	3.4	7.3	5.6	3.9	2.2	7.3	5.5	9	5.5	3.9	5.6	5.5	3675100	284720	0	0	681120	0	0	1543200	532310	173860	249120	0	210770	1				5	769;2509;8406;9380	True;True;True;True	876;2818;2819;2820;9574;10695	6858;6859;6860;6861;6862;6863;6864;21562;21563;21564;21565;21566;21567;21568;21569;21570;21571;21572;21573;21574;21575;21576;21577;21578;21579;21580;21581;21582;21583;21584;21585;21586;21587;21588;21589;21590;21591;21592;21593;21594;21595;21596;21597;21598;21599;21600;21601;21602;21603;21604;21605;21606;21607;21608;21609;21610;21611;21612;21613;21614;72113;72114;72115;72116;72117;72118;81252;81253;81254;81255;81256;81257;81258	4778;15096;15097;15098;15099;15100;15101;15102;15103;15104;15105;15106;15107;15108;15109;15110;15111;15112;15113;15114;15115;15116;15117;15118;15119;15120;15121;15122;15123;15124;51072;51073;51074;51075;57255;57256;57257;57258	4778;15105;51073;57257		8;9;10;11;12;13;8778		691;693;738;753;755;758;761
A0JLT2	A0JLT2	1	1	1	Mediator of RNA polymerase II transcription subunit 19	MED19	>sp|A0JLT2|MED19_HUMAN Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	9	9	9	26.273	244	244	0	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	0	0	0	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	6504	True	7386	55488;55489;55490;55491	38635	38635	1	14	232	226
A0JNW5	A0JNW5	5	5	5	UHRF1-binding protein 1-like	UHRF1BP1L	>sp|A0JNW5|UH1BL_HUMAN UHRF1-binding protein 1-like OS=Homo sapiens OX=9606 GN=UHRF1BP1L PE=1 SV=2	1	5	5	5	1	1	3	1	5	4	1	2	1	2	3	2	1	1	3	1	5	4	1	2	1	2	3	2	1	1	3	1	5	4	1	2	1	2	3	2	7	7	7	164.2	1464	1464	0	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	0.5	0.5	4.3	0.5	7	5.3	0.5	2.6	0.5	2.6	3.2	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0				7	2818;8354;8999;9289;9577	True;True;True;True;True	3171;9511;10243;10591;10926	24396;24397;24398;24399;71614;71615;71616;77386;80458;80459;80460;80461;80462;80463;80464;80465;80466;80467;80468;80469;83223;83224;83225;83226;83227;83228	17094;17095;17096;50761;54705;56772;58641;58642;58643;58644	17095;50761;54705;56772;58641		15;16;17;18;19;20;21;8779;8780;8781		774;775;777;891;989;1251;1252;1399;1401;1402
A1A4S6	A1A4S6	1	1	1	Rho GTPase-activating protein 10	ARHGAP10	>sp|A1A4S6|RHG10_HUMAN Rho GTPase-activating protein 10 OS=Homo sapiens OX=9606 GN=ARHGAP10 PE=1 SV=1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	2.9	2.9	2.9	89.374	786	786	0	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	2.9	0	2.9	0	2.9	2.9	0	2.9	2.9	2.9	2.9	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0				8	10172	True	11593	88766;88767;88768;88769;88770;88771;88772;88773;88774;88775;88776;88777;88778	62719;62720;62721;62722;62723;62724;62725;62726;62727;62728;62729;62730;62731;62732	62719		22;23;8782		586;589;591
A1KXE4	A1KXE4	1	1	1	Myelin-associated neurite-outgrowth inhibitor	FAM168B	>sp|A1KXE4|F168B_HUMAN Myelin-associated neurite-outgrowth inhibitor OS=Homo sapiens OX=9606 GN=FAM168B PE=1 SV=1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	9.2	9.2	9.2	20.324	195	195	0	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	9.2	0	0	9.2	0	0	9.2	0	0	9.2	9.2	9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0				9	6079	True	6890	52075;52076;52077;52078;52079;52080	36608	36608		24		6
